KO	pathway
K11358	ko00220
K11540	ko00220
K11541	ko00220
K12659	ko00220
K13240	ko00220
K13241	ko00220
K13242	ko00220
K13427	ko00220
K14048	ko00220
K14260	ko00220
K14272	ko00220
K14454	ko00220
K14455	ko00220
K14541	ko00220
K14677	ko00220
K14681	ko00220
K14682	ko00220
K15371	ko00220
K19412	ko00220
K22476	ko00220
K22477	ko00220
K22478	ko00220
K23265	ko00220
K25032	ko00220
K27542	ko00220
K27545	ko00220
K00073	ko00230
K00087	ko00230
K00088	ko00230
K00106	ko00230
K00364	ko00230
K00365	ko00230
K00524	ko00230
K00525	ko00230
K00526	ko00230
K00527	ko00230
K00601	ko00230
K00602	ko00230
K00759	ko00230
K00760	ko00230
K00764	ko00230
K00769	ko00230
K00839	ko00230
K00856	ko00230
K00860	ko00230
K00892	ko00230
K00893	ko00230
K00904	ko00230
K00926	ko00230
K00939	ko00230
K00940	ko00230
K00942	ko00230
K00944	ko00230
K00948	ko00230
K00951	ko00230
K00955	ko00230
K00956	ko00230
K00957	ko00230
K00958	ko00230
K00988	ko00230
K01081	ko00230
K01119	ko00230
K01120	ko00230
K01129	ko00230
K01139	ko00230
K01239	ko00230
K01241	ko00230
K01427	ko00230
K01428	ko00230
K01429	ko00230
K01430	ko00230
K01466	ko00230
K01477	ko00230
K01483	ko00230
K01486	ko00230
K01487	ko00230
K01488	ko00230
K01490	ko00230
K01492	ko00230
K01509	ko00230
K01510	ko00230
K01511	ko00230
K01513	ko00230
K01514	ko00230
K01515	ko00230
K01517	ko00230
K01518	ko00230
K01519	ko00230
K01522	ko00230
K01524	ko00230
K01525	ko00230
K01529	ko00230
K01587	ko00230
K01588	ko00230
K01589	ko00230
K01756	ko00230
K01768	ko00230
K01769	ko00230
K01835	ko00230
K01839	ko00230
K01923	ko00230
K01933	ko00230
K01939	ko00230
K01945	ko00230
K01951	ko00230
K01952	ko00230
K02083	ko00230
K02381	ko00230
K02566	ko00230
K03651	ko00230
K03783	ko00230
K03784	ko00230
K03787	ko00230
K03816	ko00230
K04765	ko00230
K05810	ko00230
K05851	ko00230
K05873	ko00230
K05961	ko00230
K06863	ko00230
K06928	ko00230
K06952	ko00230
K06966	ko00230
K07023	ko00230
K07097	ko00230
K07127	ko00230
K07816	ko00230
K08041	ko00230
K08042	ko00230
K08043	ko00230
K08044	ko00230
K08045	ko00230
K08046	ko00230
K08047	ko00230
K08048	ko00230
K08049	ko00230
K08289	ko00230
K08312	ko00230
K08693	ko00230
K08718	ko00230
K08722	ko00230
K09769	ko00230
K09913	ko00230
K10353	ko00230
K10807	ko00230
K10808	ko00230
K11029	ko00230
K11175	ko00230
K11176	ko00230
K11177	ko00230
K11178	ko00230
K11265	ko00230
K11751	ko00230
K11787	ko00230
K11788	ko00230
K11808	ko00230
K12304	ko00230
K12305	ko00230
K12318	ko00230
K12319	ko00230
K12320	ko00230
K12321	ko00230
K12322	ko00230
K12323	ko00230
K12324	ko00230
K13293	ko00230
K13294	ko00230
K13296	ko00230
K13298	ko00230
K13479	ko00230
K13480	ko00230
K13481	ko00230
K13482	ko00230
K13483	ko00230
K13484	ko00230
K13485	ko00230
K13713	ko00230
K13755	ko00230
K13756	ko00230
K13757	ko00230
K13758	ko00230
K13759	ko00230
K13760	ko00230
